audit_id,transaction_id,exception_type,severity,difference,deterministic_explanation,ai_explanation,explanation_source,recommended_action,ml_status,ml_exception_probability,ml_predicted_exception_type,ml_exception_type_probability,hybrid_decision,agent_decision,agent_decision_reason,action_type,action_status,execution_mode,escalation_required,escalation_priority,escalation_status,review_owner,review_status,reviewer,reviewer_action,reviewer_note,audit_event_status
AUDIT_00040,TXN00242,PARTIAL_SETTLEMENT,MEDIUM,999.5,The settlement amount is lower than the expected gross settlement amount.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00242. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 999.5. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE,Verify whether the remaining amount is pending or was incorrectly settled.,EXCEPTION,1.0,PARTIAL_SETTLEMENT,0.735,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00041,TXN00248,DUPLICATE_PAYMENT,MEDIUM,3999.0,"Multiple payment records were found for transaction TXN00248, including a duplicate payment.","A DUPLICATE_PAYMENT exception with MEDIUM severity has been identified for transaction TXN00248. Multiple payment records were found for transaction TXN00248, including a duplicate payment. Variance: 3999.0. Recommended action: Verify the duplicate payment records and determine whether a reversal or refund is required.",GEMINI,Verify the duplicate payment records and determine whether a reversal or refund is required.,EXCEPTION,0.995,DUPLICATE_PAYMENT,0.97,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00042,TXN00252,UNKNOWN_ADJUSTMENT,MEDIUM,-500.0,An unexpected settlement adjustment was recorded for transaction TXN00252.,An UNKNOWN_ADJUSTMENT exception with MEDIUM severity was identified for transaction TXN00252. An unexpected settlement adjustment was recorded for transaction TXN00252. The adjustment difference is -500.0. Recommended action: Review the adjustment entry and identify its source.,RULE_TEMPLATE,Review the adjustment entry and identify its source.,EXCEPTION,1.0,UNKNOWN_ADJUSTMENT,0.84,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00043,TXN00257,SETTLEMENT_DELAY,LOW,0.0,The settlement date differs from the clean reference settlement date.,A low-severity SETTLEMENT_DELAY exception was identified for transaction TXN00257. The settlement date differs from the clean reference settlement date. The settlement timing difference is 0.0. Recommended action: Check settlement processing status and investigate the settlement delay.,RULE_TEMPLATE,Check settlement processing status and investigate the settlement delay.,EXCEPTION,0.5467499411493216,NONE,0.995,RULE_EXCEPTION_ML_SUPPORT,SETTLEMENT_REVIEW,The exception is categorized as SETTLEMENT_REVIEW and does not require escalation.,CREATE_SETTLEMENT_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00044,TXN00265,MISSING_PAYMENT,HIGH,4999.0,No payment record was found for transaction TXN00265.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00265. No payment record was found for transaction TXN00265. Discrepancy amount: 4999.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI,Verify payment gateway records and confirm whether the payment was received.,EXCEPTION,1.0,MISSING_PAYMENT,0.97,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00045,TXN00283,FAILED_PAYMENT,HIGH,999.0,The payment associated with transaction TXN00283 is marked as FAILED.,A HIGH-severity FAILED_PAYMENT exception has been flagged for transaction TXN00283. The payment associated with transaction TXN00283 is marked as FAILED. Please review the record and proceed with the recommended action: Verify the payment status and determine whether a retry or customer follow-up is required.,GEMINI,Verify the payment status and determine whether a retry or customer follow-up is required.,EXCEPTION,0.9,FAILED_PAYMENT,0.96,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00046,TXN00288,FAILED_PAYMENT,HIGH,299.0,The payment associated with transaction TXN00288 is marked as FAILED.,A HIGH-severity FAILED_PAYMENT exception has been flagged for transaction TXN00288. The payment associated with transaction TXN00288 is marked as FAILED. Please review the record and proceed with the recommended action: Verify the payment status and determine whether a retry or customer follow-up is required.,GEMINI,Verify the payment status and determine whether a retry or customer follow-up is required.,EXCEPTION,0.845,FAILED_PAYMENT,0.775,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00047,TXN00291,DUPLICATE_PAYMENT,MEDIUM,799.0,"Multiple payment records were found for transaction TXN00291, including a duplicate payment.","A DUPLICATE_PAYMENT exception with MEDIUM severity has been identified for transaction TXN00291. Multiple payment records were found for transaction TXN00291, including a duplicate payment. Variance: 799.0. Recommended action: Verify the duplicate payment records and determine whether a reversal or refund is required.",GEMINI,Verify the duplicate payment records and determine whether a reversal or refund is required.,EXCEPTION,0.98,DUPLICATE_PAYMENT,0.9,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00048,TXN00294,DUPLICATE_SETTLEMENT,MEDIUM,-23.58,"Multiple settlement records were found for transaction TXN00294, including a duplicate settlement.","A DUPLICATE_SETTLEMENT exception was identified for transaction TXN00294 due to multiple settlement records being detected, resulting in a discrepancy of -23.58. Multiple settlement records were found for transaction TXN00294, including a duplicate settlement. Verify the duplicate settlement entries and investigate possible over-settlement.",GEMINI,Verify the duplicate settlement entries and investigate possible over-settlement.,EXCEPTION,0.965,DUPLICATE_SETTLEMENT,0.96,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00049,TXN00299,FAILED_PAYMENT,HIGH,3999.0,The payment associated with transaction TXN00299 is marked as FAILED.,A HIGH-severity FAILED_PAYMENT exception has been flagged for transaction TXN00299. The payment associated with transaction TXN00299 is marked as FAILED. Please review the record and proceed with the recommended action: Verify the payment status and determine whether a retry or customer follow-up is required.,GEMINI,Verify the payment status and determine whether a retry or customer follow-up is required.,EXCEPTION,0.965,FAILED_PAYMENT,0.91,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00050,TXN00300,MISSING_SETTLEMENT,HIGH,1999.0,No settlement record was found for transaction TXN00300.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00300. No settlement record was found for transaction TXN00300. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00051,TXN00309,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00309.,A WRONG_TRANSACTION_REFERENCE exception with MEDIUM severity was identified for transaction TXN00309. The bank reference does not match transaction TXN00309. The reconciliation difference is 0.0. Recommended action: Verify the bank reference and correct the transaction mapping if required.,RULE_TEMPLATE,Verify the bank reference and correct the transaction mapping if required.,MATCHED,0.005,WRONG_TRANSACTION_REFERENCE,0.67,RULE_EXCEPTION_ML_DISAGREEMENT,ESCALATE_FOR_REVIEW,"The reconciliation rule identified an exception requiring escalation, while the ML layer disagreed with the rule result.",CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00052,TXN00312,CHARGEBACK,HIGH,2999.25,A chargeback was recorded for transaction TXN00312.,A high-severity CHARGEBACK exception was detected for transaction TXN00312. A chargeback was recorded for transaction TXN00312. The variance associated with this transaction is 2999.25. Review the chargeback and associated dispute record.,GEMINI,Review the chargeback and associated dispute record.,EXCEPTION,1.0,CHARGEBACK,0.905,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00053,TXN00317,PARTIAL_SETTLEMENT,MEDIUM,159.8,The settlement amount is lower than the expected gross settlement amount.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00317. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 159.8. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE,Verify whether the remaining amount is pending or was incorrectly settled.,EXCEPTION,0.885,PARTIAL_SETTLEMENT,0.655,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00054,TXN00326,REFUND,HIGH,599.9,A refund was recorded for transaction TXN00326.,A HIGH-severity REFUND exception was identified for transaction TXN00326. A refund was recorded for transaction TXN00326. The associated difference is 599.9. Recommended action: Verify the refund authorization and confirm that the refund amount is correct.,RULE_TEMPLATE,Verify the refund authorization and confirm that the refund amount is correct.,EXCEPTION,1.0,REFUND,0.93,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00055,TXN00328,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00328.,A WRONG_TRANSACTION_REFERENCE exception with MEDIUM severity was identified for transaction TXN00328. The bank reference does not match transaction TXN00328. The reconciliation difference is 0.0. Recommended action: Verify the bank reference and correct the transaction mapping if required.,RULE_TEMPLATE,Verify the bank reference and correct the transaction mapping if required.,EXCEPTION,0.625,WRONG_TRANSACTION_REFERENCE,0.615,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00056,TXN00331,CHARGEBACK,HIGH,249.5,A chargeback was recorded for transaction TXN00331.,A high-severity CHARGEBACK exception was detected for transaction TXN00331. A chargeback was recorded for transaction TXN00331. The variance associated with this transaction is 249.5. Review the chargeback and associated dispute record.,GEMINI,Review the chargeback and associated dispute record.,EXCEPTION,0.93,CHARGEBACK,0.87,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00057,TXN00335,MISSING_SETTLEMENT,HIGH,1499.0,No settlement record was found for transaction TXN00335.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00335. No settlement record was found for transaction TXN00335. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00058,TXN00337,AMOUNT_MISMATCH,HIGH,250.0,The settlement amount does not match the clean reference amount.,Transaction TXN00337 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 250.0 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI,Compare the expected and actual settlement amounts and investigate the difference.,EXCEPTION,1.0,AMOUNT_MISMATCH,0.89,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00059,TXN00343,WRONG_TRANSACTION_REFERENCE,MEDIUM,0.0,The bank reference does not match transaction TXN00343.,A WRONG_TRANSACTION_REFERENCE exception with MEDIUM severity was identified for transaction TXN00343. The bank reference does not match transaction TXN00343. The reconciliation difference is 0.0. Recommended action: Verify the bank reference and correct the transaction mapping if required.,RULE_TEMPLATE,Verify the bank reference and correct the transaction mapping if required.,EXCEPTION,0.735,WRONG_TRANSACTION_REFERENCE,0.68,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00060,TXN00350,DATE_MISMATCH,LOW,0.0,The payment date differs from the clean reference payment date.,Transaction TXN00350 has triggered a low-severity DATE_MISMATCH exception because The payment date differs from the clean reference payment date. (date difference: 0.0). Please perform the following recommended action to resolve the discrepancy: Verify the payment processing date against the source payment record..,GEMINI,Verify the payment processing date against the source payment record.,EXCEPTION,0.665,DATE_MISMATCH,0.61,RULE_EXCEPTION_ML_SUPPORT,DATE_REVIEW,The exception is categorized as DATE_REVIEW and does not require escalation.,CREATE_DATE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00061,TXN00351,AMOUNT_MISMATCH,HIGH,100.0,The settlement amount does not match the clean reference amount.,Transaction TXN00351 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 100.0 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI,Compare the expected and actual settlement amounts and investigate the difference.,EXCEPTION,0.78,AMOUNT_MISMATCH,0.72,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00062,TXN00355,AMOUNT_MISMATCH,HIGH,500.0,The settlement amount does not match the clean reference amount.,Transaction TXN00355 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 500.0 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI,Compare the expected and actual settlement amounts and investigate the difference.,EXCEPTION,0.99,AMOUNT_MISMATCH,0.48,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00063,TXN00356,REFUND,HIGH,1199.7,A refund was recorded for transaction TXN00356.,A HIGH-severity REFUND exception was identified for transaction TXN00356. A refund was recorded for transaction TXN00356. The associated difference is 1199.7. Recommended action: Verify the refund authorization and confirm that the refund amount is correct.,RULE_TEMPLATE,Verify the refund authorization and confirm that the refund amount is correct.,EXCEPTION,1.0,REFUND,0.955,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00064,TXN00360,REFUND,HIGH,449.7,A refund was recorded for transaction TXN00360.,A HIGH-severity REFUND exception was identified for transaction TXN00360. A refund was recorded for transaction TXN00360. The associated difference is 449.7. Recommended action: Verify the refund authorization and confirm that the refund amount is correct.,RULE_TEMPLATE,Verify the refund authorization and confirm that the refund amount is correct.,EXCEPTION,1.0,REFUND,0.96,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00065,TXN00362,INCORRECT_FEE,MEDIUM,19.9,The settlement fee differs from the expected fee structure.,"An INCORRECT_FEE exception of Medium severity has been flagged for transaction TXN00362. The settlement fee differs from the expected fee structure. A fee variance of 19.9 was identified. To reconcile this discrepancy, please proceed with the recommended action: Compare the charged settlement fee with the expected fee structure..",GEMINI,Compare the charged settlement fee with the expected fee structure.,EXCEPTION,0.9,INCORRECT_FEE,0.66,RULE_EXCEPTION_ML_SUPPORT,FEE_REVIEW,The exception is categorized as FEE_REVIEW and does not require escalation.,CREATE_FEE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00066,TXN00365,MISSING_SETTLEMENT,HIGH,199.0,No settlement record was found for transaction TXN00365.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00365. No settlement record was found for transaction TXN00365. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,0.99,MISSING_SETTLEMENT,0.985,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00067,TXN00366,AMOUNT_MISMATCH,HIGH,500.0,The settlement amount does not match the clean reference amount.,Transaction TXN00366 triggered a HIGH severity AMOUNT_MISMATCH exception. The settlement amount does not match the clean reference amount. A variance of 500.0 was detected during reconciliation. Recommended action: Compare the expected and actual settlement amounts and investigate the difference.,GEMINI,Compare the expected and actual settlement amounts and investigate the difference.,EXCEPTION,0.995,AMOUNT_MISMATCH,0.395,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00068,TXN00370,MISSING_PAYMENT,HIGH,499.0,No payment record was found for transaction TXN00370.,A high-severity MISSING_PAYMENT exception was detected for transaction TXN00370. No payment record was found for transaction TXN00370. Discrepancy amount: 499.0. Recommended action: Verify payment gateway records and confirm whether the payment was received.,GEMINI,Verify payment gateway records and confirm whether the payment was received.,EXCEPTION,1.0,MISSING_PAYMENT,0.98,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00069,TXN00375,PARTIAL_SETTLEMENT,MEDIUM,749.7,The settlement amount is lower than the expected gross settlement amount.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00375. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 749.7. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE,Verify whether the remaining amount is pending or was incorrectly settled.,EXCEPTION,0.995,PARTIAL_SETTLEMENT,0.82,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00070,TXN00376,DATE_MISMATCH,LOW,0.0,The payment date differs from the clean reference payment date.,Transaction TXN00376 has triggered a low-severity DATE_MISMATCH exception because The payment date differs from the clean reference payment date. (date difference: 0.0). Please perform the following recommended action to resolve the discrepancy: Verify the payment processing date against the source payment record..,GEMINI,Verify the payment processing date against the source payment record.,MATCHED,0.045,DATE_MISMATCH,0.7,RULE_EXCEPTION_ML_DISAGREEMENT,DATE_REVIEW,The exception is categorized as DATE_REVIEW and does not require escalation.,CREATE_DATE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00071,TXN00382,MULTIPLE_PAYMENTS,MEDIUM,449.7,Multiple payment records exist for transaction TXN00382.,A MULTIPLE_PAYMENTS exception with MEDIUM severity was identified for transaction TXN00382. Multiple payment records exist for transaction TXN00382. Recommended action: Verify why multiple payments exist for the same transaction and confirm the correct payment record.,GEMINI,Verify why multiple payments exist for the same transaction and confirm the correct payment record.,EXCEPTION,0.99,MULTIPLE_PAYMENTS,0.785,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00072,TXN00387,MISSING_SETTLEMENT,HIGH,5999.0,No settlement record was found for transaction TXN00387.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00387. No settlement record was found for transaction TXN00387. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00073,TXN00393,INCORRECT_FEE,MEDIUM,279.93,The settlement fee differs from the expected fee structure.,"An INCORRECT_FEE exception of Medium severity has been flagged for transaction TXN00393. The settlement fee differs from the expected fee structure. A fee variance of 279.93 was identified. To reconcile this discrepancy, please proceed with the recommended action: Compare the charged settlement fee with the expected fee structure..",GEMINI,Compare the charged settlement fee with the expected fee structure.,EXCEPTION,1.0,INCORRECT_FEE,0.795,RULE_EXCEPTION_ML_SUPPORT,FEE_REVIEW,The exception is categorized as FEE_REVIEW and does not require escalation.,CREATE_FEE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00074,TXN00394,CHARGEBACK,HIGH,4499.25,A chargeback was recorded for transaction TXN00394.,A high-severity CHARGEBACK exception was detected for transaction TXN00394. A chargeback was recorded for transaction TXN00394. The variance associated with this transaction is 4499.25. Review the chargeback and associated dispute record.,GEMINI,Review the chargeback and associated dispute record.,EXCEPTION,1.0,CHARGEBACK,0.8,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00075,TXN00397,CHARGEBACK,HIGH,374.25,A chargeback was recorded for transaction TXN00397.,A high-severity CHARGEBACK exception was detected for transaction TXN00397. A chargeback was recorded for transaction TXN00397. The variance associated with this transaction is 374.25. Review the chargeback and associated dispute record.,GEMINI,Review the chargeback and associated dispute record.,EXCEPTION,0.99,CHARGEBACK,0.9,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00076,TXN00399,FAILED_PAYMENT,HIGH,999.0,The payment associated with transaction TXN00399 is marked as FAILED.,A HIGH-severity FAILED_PAYMENT exception has been flagged for transaction TXN00399. The payment associated with transaction TXN00399 is marked as FAILED. Please review the record and proceed with the recommended action: Verify the payment status and determine whether a retry or customer follow-up is required.,GEMINI,Verify the payment status and determine whether a retry or customer follow-up is required.,EXCEPTION,0.94,FAILED_PAYMENT,0.895,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00077,TXN00402,INCORRECT_FEE,MEDIUM,299.9,The settlement fee differs from the expected fee structure.,"An INCORRECT_FEE exception of Medium severity has been flagged for transaction TXN00402. The settlement fee differs from the expected fee structure. A fee variance of 299.9 was identified. To reconcile this discrepancy, please proceed with the recommended action: Compare the charged settlement fee with the expected fee structure..",GEMINI,Compare the charged settlement fee with the expected fee structure.,EXCEPTION,0.995,INCORRECT_FEE,0.515,RULE_EXCEPTION_ML_SUPPORT,FEE_REVIEW,The exception is categorized as FEE_REVIEW and does not require escalation.,CREATE_FEE_REVIEW,REVIEW_REQUIRED,SIMULATED,NO,,,,PENDING,,,,OPEN
AUDIT_00078,TXN00415,MISSING_SETTLEMENT,HIGH,999.0,No settlement record was found for transaction TXN00415.,A HIGH severity MISSING_SETTLEMENT exception was identified for transaction TXN00415. No settlement record was found for transaction TXN00415. Recommended action: Verify the settlement batch and check whether the transaction is still pending.,GEMINI,Verify the settlement batch and check whether the transaction is still pending.,EXCEPTION,1.0,MISSING_SETTLEMENT,1.0,RULE_CONFIRMED_BY_ML,ESCALATE_FOR_REVIEW,The exception is high priority and requires human review before resolution.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,URGENT,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
AUDIT_00079,TXN00418,PARTIAL_SETTLEMENT,MEDIUM,749.7,The settlement amount is lower than the expected gross settlement amount.,A PARTIAL_SETTLEMENT exception with MEDIUM severity was identified for transaction TXN00418. The settlement amount is lower than the expected gross settlement amount. Settlement reconciliation shows a difference of 749.7. Recommended action: Verify whether the remaining amount is pending or was incorrectly settled.,RULE_TEMPLATE,Verify whether the remaining amount is pending or was incorrectly settled.,EXCEPTION,0.995,PARTIAL_SETTLEMENT,0.63,RULE_EXCEPTION_ML_SUPPORT,ESCALATE_FOR_REVIEW,The resolution workflow requires this exception to be escalated for review.,CREATE_ESCALATION_CASE,PENDING_REVIEW,SIMULATED,YES,HIGH,OPEN,RECONCILIATION_TEAM,PENDING,,,,OPEN
